PLOT-Name,3PG-Mean_DBH,3PG-Basal_Area
plot0,41.3044,75.9503
plot1,49.1626,77.0204
plot2,39.0972,77.7442
plot3,40.9777,76.1955
plot4,36.2629,75.6956
plot5,39.3548,75.8273
plot6,28.1196,73.4229
plot7,51.0362,77.1069
plot8,42.1371,76.3415
plot9,40.1277,76.3094
plot10,46.518,76.8598
plot11,47.3388,76.9084
plot12,42.1516,77.2933
plot13,46.8749,76.6187
plot14,38.7877,75.7279
plot15,43.4597,76.141
plot16,40.5661,76.0107
plot17,40.5701,76.0301
plot18,39.322,75.5089
plot19,39.6504,76.2687
plot20,40.5833,75.8713
plot21,39.707,77.1301
plot22,41.0383,75.624
plot23,44.2016,76.3006
plot24,39.6698,76.1967
plot25,40.909,76.3016
plot26,40.0991,76.2467
plot27,46.1615,76.0831
plot28,40.8495,75.7778
plot29,40.7621,76.1722
plot30,39.5675,75.7559
plot31,37.3337,75.4067
plot32,50.4649,76.8239
plot33,36.794,75.5702
plot34,42.5572,76.4823
plot35,25.1607,74.4885
plot36,41.8378,76.4985
plot37,46.5394,76.5153
plot38,48.4784,76.5344
plot39,37.7124,75.4041
plot40,45.8298,76.488
plot41,49.4278,77.0424
plot42,47.5112,76.845
plot43,40.21,75.8402
plot44,43.8055,76.6486
plot45,43.6536,75.9195
plot46,42.9749,76.448
plot47,35.7351,75.6817
plot48,45.5056,76.4488
plot49,38.6783,75.4731
plot50,40.4538,76.2348
plot51,24.9741,74.8207
plot52,43.4426,76.3186
plot53,44.8502,76.9584
plot54,47.6125,76.2973
plot55,45.5921,76.2876
plot56,39.1291,75.5941
plot57,47.0849,76.872
plot58,39.8924,75.6624
plot59,38.8775,75.9971
plot60,38.9225,75.8292
plot61,35.428,75.4371
plot62,47.1466,76.6168
plot63,50.5991,77.4017
plot64,44.7413,76.5921
plot65,47.4964,76.4554
plot66,37.0349,74.7772
plot67,43.4914,75.5995
plot68,33.7611,75.4505
plot69,46.3004,76.8225
plot70,50.6499,76.9871
plot71,42.4717,75.8103
plot72,37.2566,75.2322
plot73,41.2458,76.1849
plot74,36.1633,75.8389
plot75,41.3276,75.7012
plot76,43.9107,76.2347
plot77,37.1719,75.3539
plot78,39.3976,75.9523
plot79,49.9738,76.8028
plot80,47.5279,77.4111
plot81,45.7588,76.6748
plot82,52.2565,77.2645
plot83,40.1003,75.6356
plot84,48.5792,76.9382
plot85,34.9448,74.6818
plot86,41.1801,75.8404
plot87,44.3472,76.2485
plot88,43.8551,76.4568
plot89,45.4225,76.3066
plot90,41.7581,76.0536
plot91,44.1259,76.1929
plot92,56.9786,77.3013
plot93,46.9951,76.4359
plot94,47.4557,76.6322
plot95,40.969,75.8517
plot96,41.8857,76.0032
plot97,43.0794,76.1804
plot98,42.9378,76.1008
plot99,40.0197,75.8986
plot100,29.3041,76.1174
plot101,48.6924,76.1435
plot102,37.227,75.6552
plot103,37.8354,75.3138
plot104,38.6705,75.653
plot105,47.4263,76.6629
plot106,44.8094,76.547
plot107,40.4041,75.7876
plot108,44.6521,76.3753
plot109,40.6454,75.6867
plot110,35.6546,75.0736
plot111,33.0228,73.7441
plot112,43.3741,76.5371
plot113,38.19,75.5667
plot114,48.1904,77.0651
plot115,46.6575,76.5025
plot116,39.3083,75.1502
plot117,41.283,76.4869
plot118,50.6484,77.0849
plot119,39.859,75.588
plot120,36.9731,75.312
plot121,51.8801,77.1502
plot122,44.6756,76.7464
plot123,53.7296,77.7547
plot124,34.0578,75.852
plot125,34.6093,75.0854
plot126,42.9586,75.7044
plot127,47.4187,76.402
plot128,39.7477,76.0888
plot129,40.1072,75.3551
plot130,48.0045,75.9003
plot131,39.6751,75.5907
plot132,37.714,75.6127
plot133,35.221,74.9701
plot134,42.6506,75.9442
plot135,39.4219,75.9613
plot136,46.4826,76.9384
plot137,43.5774,76.2937
plot138,36.0904,75.6024
plot139,39.9763,75.244
plot140,36.2791,75.8182
plot141,43.4427,76.4687
plot142,39.8478,75.8733
plot143,34.6459,75.1853
plot144,54.3842,77.7752
plot145,49.0507,76.7607
plot146,37.8702,75.4153
plot147,40.8216,75.5796
plot148,40.8801,75.9115
plot149,51.149,77.1807
plot150,39.9284,75.5738
plot151,41.2182,76.5065
plot152,47.2006,76.1393
plot153,44.3472,76.4879
plot154,24.0933,73.8256
plot155,44.5463,76.7053
plot156,39.8145,76.4599
plot157,41.077,75.9298
plot158,39.2462,75.6858
plot159,47.894,76.3724
plot160,33.3687,75.3502
plot161,46.7628,76.3698
plot162,49.4409,76.6618
plot163,43.0569,75.7608
plot164,41.9087,76.1635
plot165,48.2411,76.4209
plot166,45.5822,76.4832
plot167,48.439,77.0221
plot168,34.7491,75.8811
plot169,39.3686,75.9731
plot170,42.8901,75.9035
plot171,38.4069,75.4799
plot172,41.4921,76.0167
plot173,41.3062,75.959
plot174,56.1683,77.4491
plot175,38.0285,76.2933
plot176,40.3425,75.857
plot177,42.3566,75.7718
plot178,46.4265,76.4157
plot179,43.3319,76.6228
plot180,41.1858,76.3574
plot181,39.6907,75.7634
plot182,38.3137,75.9001
plot183,38.1278,76.2056
plot184,37.4374,75.9998
plot185,42.3073,75.2505
plot186,39.4565,75.9635
plot187,35.9394,74.5665
plot188,52.134,77.236
plot189,45.1794,76.6503
plot190,45.0532,76.3573
plot191,40.8292,76.1429
plot192,49.1681,77.1763
plot193,45.4449,76.0765
plot194,50.9069,77.1824
plot195,44.0048,76.1669
plot196,41.9951,75.52
plot197,40.9707,76.1083
plot198,39.0816,75.5935
plot199,43.9302,76.5154
plot200,41.8308,76.1807
plot201,39.8027,76.0364
plot202,49.605,77.1688
plot203,44.5855,76.3874
plot204,36.5042,75.0464
plot205,56.4207,77.5549
plot206,41.8637,76.4195
plot207,35.1811,75.5802
plot208,39.5811,75.3314
plot209,43.6575,76.2197
plot210,39.1946,76.0961
plot211,39.1565,76.0202
plot212,42.5637,76.5509
plot213,42.911,76.3683
plot214,40.9645,76.5621
plot215,49.924,76.9374
plot216,37.1108,76.5034
plot217,34.3697,74.8521
plot218,37.496,75.9366
plot219,44.3661,76.5594
plot220,44.2786,76.444
plot221,37.9428,75.8184
plot222,45.5733,76.8721
plot223,45.3875,76.2131
plot224,40.8976,76.1099
plot225,43.6301,76.5996
plot226,44.5445,76.1734
plot227,39.1721,75.9883
plot228,34.455,75.4013
plot229,44.64,76.2796
plot230,36.1317,74.9631
plot231,48.6748,76.6709
plot232,46.1843,76.63
plot233,48.234,77.0074
plot234,39.1971,75.852
plot235,51.6367,76.5881
plot236,39.1452,75.9691
plot237,42.4941,75.7286
plot238,50.1348,77.2358
plot239,48.8376,76.6605
plot240,37.4715,74.9692
plot241,52.4472,77.243
plot242,38.2528,75.637
plot243,39.9659,76.0785
plot244,41.5345,76.4826
plot245,38.8241,75.7172
plot246,38.7073,75.2602
plot247,42.1062,75.229
plot248,39.3623,76.2187
plot249,54.7061,76.987
plot250,38.1361,75.7684
plot251,37.5839,75.6849
plot252,49.5461,77.0188
plot253,44.5213,75.9993
plot254,49.6597,77.1311
plot255,45.8384,77.1111
plot256,38.3624,75.6426
plot257,50.7114,76.7248
plot258,39.6031,75.3895
plot259,38.36,75.7351
plot260,52.5386,77.4938
plot261,45.2669,76.6703
plot262,43.328,75.3629
plot263,38.2322,76.0791
plot264,37.0829,75.3705
plot265,47.8052,76.9467
plot266,39.8187,75.922
plot267,49.4723,77.3016
plot268,34.2261,74.9335
plot269,42.7887,76.0073
plot270,45.8367,76.4515
plot271,45.8636,76.17
plot272,42.9864,76.6677
plot273,50.7502,76.9483
plot274,34.3236,74.8729
plot275,48.1923,77.3452
plot276,46.8527,76.5581
plot277,36.5767,74.6381
plot278,43.2476,75.9272
plot279,49.0473,76.4382
plot280,34.7975,75.0729
plot281,42.798,76.5978
plot282,45.6734,76.4415
plot283,45.4986,76.7819
plot284,17.0842,73.7107
plot285,13.6224,70.9095
plot286,33.4164,78.259
plot287,32.3914,74.153
plot288,44.6317,75.8756
plot289,39.0505,75.9871
plot290,34.7047,75.7103
plot291,39.8053,76.1764
plot292,33.196,75.4669
plot293,48.6832,76.9887
plot294,46.0299,77.2958
plot295,43.804,76.1827
plot296,36.8274,75.4385
plot297,42.0604,76.0433
plot298,51.6948,77.6679
plot299,53.7511,77.8671
plot300,41.5018,75.5449
plot301,36.5708,75.7114
plot302,49.7697,77.0472
plot303,34.8719,75.3279
plot304,50.9163,76.914
plot305,47.203,76.6406
plot306,39.9509,76.2055
plot307,36.404,75.574
plot308,39.5282,75.8402
plot309,35.4882,75.4721
plot310,43.6733,76.4194
plot311,39.7023,75.6292
plot312,44.1362,76.6186
plot313,37.3675,75.1459
plot314,40.3216,75.6794
plot315,50.0926,76.7364
plot316,40.7412,76.076
plot317,29.9752,74.9202
plot318,19.7201,75.2953
plot319,26.2161,74.666
plot320,44.5927,76.48
plot321,42.189,75.82
plot322,46.0161,76.5474
plot323,35.0663,75.3034
plot324,28.5853,74.2871
plot325,35.1027,75.019
plot326,40.5558,76.0105
plot327,39.3949,75.1444
plot328,40.382,75.6117
plot329,56.0092,77.5515
plot330,34.4701,74.8971
plot331,37.5503,75.6081
plot332,45.194,76.3837
plot333,39.2159,76.0543
plot334,50.0881,76.6375
plot335,43.5571,76.8467
plot336,60.0839,77.9887
plot337,37.0393,76.2567
plot338,32.2141,74.4468
plot339,35.7219,75.0039
plot340,34.6066,74.8275
plot341,41.253,76.0654
plot342,47.8967,77.0039
plot343,41.6495,75.9954
plot344,45.5091,76.5401
plot345,42.1101,76.3724
plot346,47.0078,76.5453
plot347,46.0177,76.1292
plot348,37.2323,75.4832
plot349,42.4879,76.2267
plot350,38.5933,77.1465
plot351,43.527,76.2698
plot352,39.9093,75.7428
plot353,41.0685,74.538
plot354,47.9135,76.4857
plot355,48.4924,76.9014
plot356,44.9475,76.1134
plot357,36.1249,75.7639
plot358,44.9463,76.5337
plot359,42.9266,75.0668
plot360,36.8784,75.7714
plot361,42.2527,75.9114
plot362,42.3954,76.2871
plot363,38.4047,75.6487
plot364,46.1525,75.8153
plot365,40.0142,75.8275
plot366,43.4355,76.0985
plot367,37.6549,75.8277
plot368,36.3102,75.1663
plot369,38.04,75.5904
plot370,42.0979,76.625
plot371,39.8231,75.9222
plot372,32.1984,74.656
plot373,40.8634,76.062
plot374,40.2721,75.6054
plot375,40.882,75.9833
plot376,29.4358,74.9986
plot377,50.8942,76.7091
plot378,43.863,76.152
plot379,47.5693,76.6407
plot380,41.6249,76.0853
plot381,36.7343,75.3936
plot382,38.3515,75.4261
plot383,49.0006,76.9372
plot384,42.8955,76.8479
plot385,43.8775,76.4422
plot386,48.9183,76.8903
plot387,36.6499,75.5554
plot388,42.4211,76.2139
plot389,44.2217,76.759
plot390,36.1674,75.227
plot391,50.3389,77.258
plot392,38.8207,75.7514
plot393,43.253,76.1563
plot394,42.5004,75.6602
plot395,44.8678,76.7707
plot396,48.3952,76.8685
plot397,46.1208,76.4166
plot398,34.9554,75.1107
plot399,54.0879,77.523
plot400,43.3878,76.5517
plot401,52.8171,77.5252
plot402,32.8847,75.3758
plot403,58.0988,77.903
plot404,39.8213,76.5878
plot405,43.9084,76.4227
plot406,42.4395,76.3382
plot407,37.4674,75.4829
plot408,42.6256,76.4649
plot409,41.9226,76.276
plot410,47.5278,76.6798
plot411,50.7914,77.2564
plot412,42.6143,76.4925
plot413,46.8645,76.7898
plot414,37.7389,75.6854
plot415,45.2053,76.7745
plot416,34.2925,75.518
plot417,28.6495,78.7768
plot418,41.6447,75.8451
plot419,39.8164,75.5501
plot420,38.3356,75.105
plot421,35.1925,75.2201
plot422,47.0601,76.7418
plot423,48.3803,76.8313
plot424,49.9126,76.9871
plot425,42.8681,76.5768
plot426,42.0279,75.8741
plot427,51.4227,76.9355
plot428,41.3084,75.8536
plot429,51.3571,77.5565
plot430,37.6532,75.6473
plot431,46.2641,76.3824
plot432,31.9653,74.9255
plot433,42.234,75.813
plot434,34.457,75.0979
plot435,36.2501,75.6829
plot436,38.7709,75.0468
plot437,44.7537,76.816
plot438,37.7627,76.2418
plot439,46.445,76.5229
plot440,44.5297,76.1429
plot441,43.4303,76.3139
plot442,41.2209,76.3205
plot443,49.6268,77.0704
plot444,45.9389,76.6047
plot445,43.0802,75.819
plot446,41.7306,75.9367
plot447,48.7292,76.8628
plot448,39.7612,76.3485
plot449,43.8717,77.3804
plot450,14.3672,71.14
plot451,45.6756,79.3036
plot452,40.3312,75.9278
plot453,43.1648,76.3236
plot454,45.2898,76.3723
plot455,50.5436,77.5343
plot456,36.0906,75.564
plot457,37.0494,75.8398
plot458,51.3523,77.0173
plot459,39.5005,75.9946
plot460,51.8152,77.4186
plot461,44.9711,76.4379
plot462,51.2166,77.4412
plot463,43.7779,77.0602
plot464,41.1619,75.9263
plot465,52.9489,77.3268
plot466,44.1103,76.2938
plot467,43.7745,76.0995
plot468,45.8476,76.823
plot469,40.4627,76.171
plot470,41.4424,76.3344
plot471,47.1221,76.5729
plot472,39.5439,75.6243
plot473,37.7143,75.6231
plot474,39.0999,75.6622
plot475,40.8691,75.7085
plot476,39.1455,75.7573
plot477,43.5398,76.5061
plot478,45.6459,76.0709
plot479,41.5032,76.0974
plot480,48.0592,76.8461
plot481,31.3707,74.5362
plot482,41.7051,77.192
plot483,36.8793,75.1366
plot484,44.8656,76.1191
plot485,42.0245,76.1632
plot486,51.7002,77.2842
plot487,38.959,75.9019
plot488,47.8785,76.671
plot489,38.2485,75.6558
plot490,39.5747,75.972
plot491,46.3822,76.5041
plot492,50.6012,77.3719
plot493,43.1722,76.3972
plot494,48.3269,76.697
plot495,37.7556,75.6613
plot496,49.0782,77.0698
plot497,44.4225,76.1241
plot498,39.721,75.4031
plot499,54.59,77.78
plot500,31.0117,74.854
plot501,41.2801,75.968
plot502,38.5876,75.7518
plot503,45.8787,76.1735
plot504,36.5832,75.8965
plot505,45.4325,76.7771
plot506,39.6004,75.4334
plot507,50.5702,77.0615
plot508,38.852,75.2724
plot509,48.9814,77.0151
plot510,45.1249,76.0169
plot511,40.4638,76.1942
plot512,29.2827,75.7574
plot513,26.3908,76.4653
plot514,47.1099,76.3922
plot515,43.6384,76.3563
plot516,36.8686,75.0047
plot517,45.1596,76.7431
plot518,41.7899,76.0257
plot519,42.6629,76.3667
plot520,40.6739,76.0617
plot521,43.2535,75.543
plot522,49.7237,77.2017
plot523,49.0725,77.029
plot524,44.8483,76.2272
plot525,36.2645,74.9848
plot526,34.3397,74.5346
plot527,50.9254,77.4772
plot528,38.6695,75.5992
plot529,35.9185,75.1014
plot530,48.3463,76.8665
plot531,35.8922,74.7226
plot532,43.4193,76.2849
plot533,39.1559,75.4753
plot534,43.8743,76.513
plot535,43.051,75.9755
plot536,48.9289,77.1601
plot537,41.3397,75.9724
plot538,46.1399,76.7055
plot539,47.0583,77.0397
plot540,52.5443,77.4839
plot541,46.9785,76.0558
plot542,44.99,76.5327
plot543,38.8976,76.4899
plot544,38.9677,76.9062
plot545,41.0357,75.9908
plot546,35.3548,75.4508
plot547,35.5391,75.2957
plot548,36.5048,75.0325
plot549,40.6243,76.5715
plot550,45.4667,76.4377
plot551,39.398,75.8825
plot552,44.9239,76.774
plot553,46.9159,75.949
plot554,33.2176,75.0737
plot555,41.3057,75.8428
plot556,44.4156,76.611
plot557,38.8164,75.8368
plot558,38.4568,75.7964
plot559,45.5798,76.6718
plot560,44.9209,76.6445
plot561,41.2913,76.0956
plot562,44.8808,76.6028
plot563,38.3055,75.9346
plot564,49.0789,76.5298
plot565,42.3005,76.1103
plot566,40.9214,75.7546
plot567,44.9702,76.0702
plot568,45.5995,76.6525
plot569,39.2906,75.8536
plot570,54.7982,77.5682
plot571,37.7506,75.5
plot572,41.0111,75.9705
plot573,41.5731,76.33
plot574,47.4608,76.6186
plot575,33.2589,75.393
plot576,29.9937,77.7969
plot577,44.1187,75.8193
plot578,39.9686,76.0337
plot579,43.9875,76.0395
plot580,41.502,76.2246
plot581,41.3076,75.8201
plot582,55.1934,77.6152
plot583,43.9425,76.0511
plot584,44.1005,76.2953
plot585,46.8017,77.1084
plot586,38.7391,75.8304
plot587,41.4819,76.3517
plot588,39.7021,75.8724
plot589,51.4223,77.3494
plot590,42.9217,76.4778
plot591,47.3143,76.7447
plot592,42.2251,76.3267
plot593,46.4571,76.691
plot594,42.0266,76.0338
plot595,38.7533,75.8107
plot596,42.7035,75.7248
plot597,40.8716,75.7653
plot598,42.3997,76.4243
plot599,47.4145,76.7392
plot600,42.9112,76.321
plot601,40.8104,76.1968
plot602,42.1876,76.1126
plot603,41.6759,75.8642
plot604,40.4141,76.7943
plot605,47.672,76.7954
plot606,36.6002,75.2457
plot607,40.1456,75.6437
plot608,37.5464,75.0562
plot609,48.0216,76.9988
plot610,50.3329,77.1746
plot611,38.2601,76.0487
plot612,44.8986,76.4282
plot613,36.6483,75.4415
plot614,44.0039,76.4276
plot615,43.9829,75.678
plot616,37.0384,75.299
plot617,39.0273,75.2434
plot618,47.0359,76.9879
plot619,49.0572,77.021
plot620,36.6006,75.4479
plot621,38.0048,74.9762
plot622,42.8793,76.0313
plot623,42.0573,76.3774
plot624,37.8962,75.7282
plot625,48.2399,77.0656
plot626,43.6956,75.9041
plot627,38.8359,75.1907
plot628,37.9536,76.2762
plot629,47.1161,76.7524
plot630,38.7843,75.8024
plot631,45.9814,76.7508
plot632,33.2025,75.3561
plot633,13.5667,70.6509
plot634,36.6945,75.5187
plot635,44.9966,76.6468
plot636,52.2123,77.4475
plot637,53.3156,77.5339
plot638,42.0856,76.4384
plot639,47.9535,76.5534
plot640,44.4452,76.2833
plot641,56.9619,77.7528
plot642,36.2886,75.6518
plot643,45.9489,76.116
plot644,44.4937,76.7522
plot645,42.6428,76.1431
plot646,39.6117,76.2384
plot647,38.5529,75.9643
plot648,41.8214,75.9119
plot649,42.4682,76.4284
plot650,32.5534,74.6461
plot651,39.3841,75.7219
plot652,40.6194,75.9274
plot653,46.2691,76.7195
plot654,45.1745,76.669
plot655,47.3313,76.4849
plot656,44.6866,76.9688
plot657,53.8804,77.3624
plot658,52.6748,77.4923
plot659,44.8352,76.7133
plot660,55.6195,77.6768
plot661,38.2971,75.9964
plot662,37.8534,76.0255
plot663,43.597,77.1002
plot664,54.451,77.488
plot665,49.703,77.0642
plot666,49.7937,76.9661
plot667,35.9509,74.9703
plot668,41.5345,76.1947
plot669,46.9503,76.6236
plot670,46.006,75.9915
plot671,52.59,77.3422
plot672,39.1232,75.4595
plot673,42.7189,76.9776
plot674,33.7436,75.7925
plot675,44.7302,77.0188
plot676,45.233,76.877
plot677,39.634,75.7837
plot678,40.4942,76.2246
plot679,44.908,77.0004
plot680,54.0041,77.5445
plot681,30.3609,75.0098
plot682,45.3289,76.8027
plot683,45.8503,76.877
plot684,40.6244,76.4112
plot685,44.1951,77.1721
plot686,39.0513,75.758
plot687,46.6867,76.998
plot688,46.7605,76.7303
plot689,40.6404,76.1639
plot690,45.6112,76.349
plot691,47.4549,76.9953
plot692,44.658,76.9831
plot693,45.2602,76.6583
