#;has_road;investment_cost;is_candidate_nursery;is_investable;is_invested;is_itp;is_near_water;is_nursery;is_policed;location;my_climate;my_laborers;my_soil;name;neighborhood_shape;plot_trees;projected_profit;rotation_years
1527;false;1620.0;false;false;false;false;false;false;false;{3710.686821769923,518.5065094296588,0.0};climate[2];[];soil[199];'plot1527';polygon ([{3566.370717987418,365.33021235628985,0.0},{3563.4172617950244,464.494470577687,0.0},{3560.463985592709,563.6587336342782,0.0},{3557.5108893798897,662.823001526529,0.0},{3656.6750886803493,665.7760047011543,0.0},{3755.839107988635,668.7290030412842,0.0},{3855.0029473042814,671.6819965483155,0.0},{3857.9560290161753,572.5182686278131,0.0},{3860.9092907164013,473.3545455415733,0.0},{3761.7454610659042,470.4011920543853,0.0},{3764.698907588143,371.237293811515,0.0},{3665.5349027819466,368.28375550126657,0.0},{3566.370717987418,365.33021235628985,0.0}]);[trees[7523],trees[7529],trees[7786],trees[7787],trees[20894]];1447.4722656661402;0
1528;false;306.0;true;true;false;false;false;false;false;{3707.7336428145936,617.670504918322,0.0};climate[2];[];soil[204];'plot1528';polygon ([{3563.4172617950244,464.494470577687,0.0},{3560.463985592709,563.6587336342782,0.0},{3557.5108893798897,662.823001526529,0.0},{3554.5579731587786,761.9872742532752,0.0},{3653.722177292686,764.940097436076,0.0},{3752.886201435118,767.8929157843813,0.0},{3852.0500455854926,770.8457293002866,0.0},{3855.0029473042814,671.6819965483155,0.0},{3857.9560290161753,572.5182686278131,0.0},{3860.9092907164013,473.3545455415733,0.0},{3761.7454610659042,470.4011920543853,0.0},{3662.5814514243975,467.44783373340033,0.0},{3563.4172617950244,464.494470577687,0.0}]);[trees[1276],trees[729],trees[56360],trees[61230],trees[61234],trees[66527],trees[66528],trees[69626],trees[74829],trees[77597],trees[77796]];518.3279088929728;0
1529;false;522.0;true;true;false;false;false;false;false;{3704.780643849197,716.834505240724,0.0};climate[7];[];soil[204];'plot1529';polygon ([{3560.463985592709,563.6587336342782,0.0},{3557.5108893798897,662.823001526529,0.0},{3554.5579731587786,761.9872742532752,0.0},{3551.6052369313547,861.1515518135857,0.0},{3650.7694458994083,864.1041950036306,0.0},{3749.9334748736583,867.0568333603442,0.0},{3849.097323856433,870.0094668834936,0.0},{3852.0500455854926,770.8457293002866,0.0},{3855.0029473042814,671.6819965483155,0.0},{3857.9560290161753,572.5182686278131,0.0},{3758.7921945319977,569.5650951308198,0.0},{3659.6281800573925,566.6119168000296,0.0},{3560.463985592709,563.6587336342782,0.0}]);[trees[245],trees[3477],trees[11684],trees[12754],trees[12756],trees[12970],trees[22768],trees[31223],trees[42134],trees[47913],trees[49656],trees[49658],trees[55723],trees[66523],trees[66524],trees[73163],trees[74269],trees[80644]];902.3511630492956;0
1585;false;1620.0;false;false;false;false;false;false;false;{3756.7211487818277,2306.409193532716,0.0};climate[14];[];soil[254];'plot1585';polygon ([{3612.4003173818346,2153.237903135363,0.0},{3609.4501059527975,2252.402068347903,0.0},{3606.50007452874,2351.5662383895833,0.0},{3603.550223106169,2450.730413262034,0.0},{3702.7143293782137,2453.680171641754,0.0},{3801.8782556460937,2456.6299251930322,0.0},{3901.0420019093435,2459.5796739161015,0.0},{3903.9918388462393,2360.416039055679,0.0},{3906.9418557835743,2261.252409022767,0.0},{3909.8920527272858,2162.0887838180643,0.0},{3810.7283209471498,2159.138495085994,0.0},{3711.564409166109,2156.1882015254814,0.0},{3612.4003173818346,2153.237903135363,0.0}]);[trees[39462],trees[39463],trees[39464],trees[39466],trees[52071],trees[60511],trees[68919]];1358.8515147069886;0
1586;false;1278.0;false;false;false;false;false;false;false;{3753.771214601671,2405.573095984466,0.0};climate[14];[];soil[151];'plot1586';polygon ([{3609.4501059527975,2252.402068347903,0.0},{3606.50007452874,2351.5662383895833,0.0},{3603.550223106169,2450.730413262034,0.0},{3600.6005516900914,2549.8945929626934,0.0},{3699.764662791509,2552.844171338249,0.0},{3798.9285938865505,2555.793744884664,0.0},{3898.0923449774273,2558.743313603336,0.0},{3901.0420019093435,2459.5796739161015,0.0},{3903.9918388462393,2360.416039055679,0.0},{3906.9418557835743,2261.252409022767,0.0},{3807.7781191772083,2258.3023002929986,0.0},{3708.6142025677254,2255.352186734788,0.0},{3609.4501059527975,2252.402068347903,0.0}]);[trees[2083],trees[1671],trees[2087],trees[27202]];1092.9892618295344;0
1587;false;1296.0;true;false;false;false;false;false;false;{3750.821460425592,2504.737003264425,0.0};climate[14];[];soil[151];'plot1587';polygon ([{3606.50007452874,2351.5662383895833,0.0},{3603.550223106169,2450.730413262034,0.0},{3600.6005516900914,2549.8945929626934,0.0},{3597.651060279808,2649.058777492959,0.0},{3696.815176208387,2652.0081758627202,0.0},{3795.9791121310554,2654.9575694040395,0.0},{3895.1428680502577,2657.9069581178483,0.0},{3898.0923449774273,2558.743313603336,0.0},{3901.0420019093435,2459.5796739161015,0.0},{3903.9918388462393,2360.416039055679,0.0},{3804.8280974103836,2357.4661103291437,0.0},{3705.6641759719932,2354.5161767739337,0.0},{3606.50007452874,2351.5662383895833,0.0}]);[trees[937],trees[1332],trees[9283],trees[9285],trees[9287],trees[9288],trees[36485],trees[79134]];1181.6100127886857;0
1588;false;954.0;true;false;false;false;false;false;false;{3747.8718862543756,2603.9009153724182,0.0};climate[14];[];soil[151];'plot1588';polygon ([{3603.550223106169,2450.730413262034,0.0},{3600.6005516900914,2549.8945929626934,0.0},{3597.651060279808,2649.058777492959,0.0},{3594.7017488748534,2748.2229668518994,0.0},{3693.865869630943,2751.1721852154005,0.0},{3793.029810381937,2754.1213987511583,0.0},{3892.1935711271362,2757.070607458474,0.0},{3895.1428680502577,2657.9069581178483,0.0},{3898.0923449774273,2558.743313603336,0.0},{3901.0420019093435,2459.5796739161015,0.0},{3801.8782556460937,2456.6299251930322,0.0},{3702.7143293782137,2453.680171641754,0.0},{3603.550223106169,2450.730413262034,0.0}]);[trees[1351],trees[2239],trees[27655],trees[38949],trees[45709],trees[45712]];797.586758632363;0
1608;false;0.0;false;false;false;false;true;false;false;{3906.061316614854,623.5766719226376,0.0};climate[7];[];soil[204];'plot1608';polygon ([{3761.7454610659042,470.4011920543853,0.0},{3758.7921945319977,569.5650951308198,0.0},{3755.839107988635,668.7290030412842,0.0},{3752.886201435118,767.8929157843813,0.0},{3852.0500455854926,770.8457293002866,0.0},{3951.213709743228,773.7985379837919,0.0},{4050.3771939079743,776.7513418355957,0.0},{4053.3300859666197,677.5879690649454,0.0},{4056.2831580139464,578.4246011245996,0.0},{3957.1196835094597,575.4714372921735,0.0},{3857.9560290161753,572.5182686278131,0.0},{3860.9092907164013,473.3545455415733,0.0},{3761.7454610659042,470.4011920543853,0.0}]);[trees[22667],trees[39278],trees[74741],trees[76668],trees[76670]];0.0;0
1663;false;1422.0;true;false;false;false;false;false;false;{3960.949015879829,2113.982160581334,0.0};climate[14];[];soil[249];'plot1663';polygon ([{3816.6292644905625,1960.81089915731,0.0},{3813.6787027181126,2059.9746947076637,0.0},{3810.7283209471498,2159.138495085994,0.0},{3807.7781191772083,2258.3023002929986,0.0},{3906.9418557835743,2261.252409022767,0.0},{4006.1054123891518,2264.2025129247922,0.0},{4105.268788993242,2267.1526119995397,0.0},{4108.2189762799535,2167.989346797578,0.0},{4111.169343569083,2068.8260864224285,0.0},{4114.119890858419,1969.6628308731597,0.0},{4014.9565287351143,1966.7121917959303,0.0},{3915.792986614164,1963.7615478909574,0.0},{3816.6292644905625,1960.81089915731,0.0}]);[trees[684],trees[16702],trees[25870],trees[34784],trees[37685],trees[55337],trees[69342],trees[76239],trees[77539],trees[77544]];1240.69051342812;0
1664;false;1620.0;false;false;false;false;false;false;false;{3957.998731350788,2213.145693371771,0.0};climate[14];[];soil[255];'plot1664';polygon ([{3813.6787027181126,2059.9746947076637,0.0},{3810.7283209471498,2159.138495085994,0.0},{3807.7781191772083,2258.3023002929986,0.0},{3804.8280974103836,2357.4661103291437,0.0},{3903.9918388462393,2360.416039055679,0.0},{4003.1554002790945,2363.365962955402,0.0},{4102.318781708484,2366.315882027382,0.0},{4105.268788993242,2267.1526119995397,0.0},{4108.2189762799535,2167.989346797578,0.0},{4111.169343569083,2068.8260864224285,0.0},{4012.005976619199,2065.8756273451727,0.0},{3912.8424296696903,2062.925163440639,0.0},{3813.6787027181126,2059.9746947076637,0.0}]);[];1329.3112643872716;0
1665;false;1620.0;false;false;false;false;false;false;false;{3955.048626824515,2312.30923098966,0.0};climate[14];[];soil[255];'plot1665';polygon ([{3810.7283209471498,2159.138495085994,0.0},{3807.7781191772083,2258.3023002929986,0.0},{3804.8280974103836,2357.4661103291437,0.0},{3801.8782556460937,2456.6299251930322,0.0},{3901.0420019093435,2459.5796739161015,0.0},{4000.205568169942,2462.52941781166,0.0},{4099.368954424979,2465.479156881571,0.0},{4102.318781708484,2366.315882027382,0.0},{4105.268788993242,2267.1526119995397,0.0},{4108.2189762799535,2167.989346797578,0.0},{4009.055604503141,2165.03906772146,0.0},{3909.8920527272858,2162.0887838180643,0.0},{3810.7283209471498,2159.138495085994,0.0}]);[trees[19341],trees[37272],trees[37273],trees[54937]];1358.8515147069886;0
1666;false;1620.0;false;false;false;false;false;false;false;{3952.098702301155,2411.4727734347107,0.0};climate[14];[];soil[259];'plot1666';polygon ([{3807.7781191772083,2258.3023002929986,0.0},{3804.8280974103836,2357.4661103291437,0.0},{3801.8782556460937,2456.6299251930322,0.0},{3798.9285938865505,2555.793744884664,0.0},{3898.0923449774273,2558.743313603336,0.0},{3997.25591606379,2561.6928774956614,0.0},{4096.419307144941,2564.642436560942,0.0},{4099.368954424979,2465.479156881571,0.0},{4102.318781708484,2366.315882027382,0.0},{4105.268788993242,2267.1526119995397,0.0},{4006.1054123891518,2264.2025129247922,0.0},{3906.9418557835743,2261.252409022767,0.0},{3807.7781191772083,2258.3023002929986,0.0}]);[trees[10112],trees[10113],trees[19345],trees[28473],trees[32626],trees[32628],trees[41961],trees[75577],trees[79889]];1388.3917650267058;0
1668;false;1620.0;false;false;false;false;false;false;false;{3946.1993932635523,2609.7998728053644,0.0};climate[14];[];soil[259];'plot1668';polygon ([{3801.8782556460937,2456.6299251930322,0.0},{3798.9285938865505,2555.793744884664,0.0},{3795.9791121310554,2654.9575694040395,0.0},{3793.029810381937,2754.1213987511583,0.0},{3892.1935711271362,2757.070607458474,0.0},{3991.357151866192,2760.019811340375,0.0},{4090.520552598522,2762.969010395929,0.0},{4093.4698398705805,2663.805721065728,0.0},{4096.419307144941,2564.642436560942,0.0},{4099.368954424979,2465.479156881571,0.0},{4000.205568169942,2462.52941781166,0.0},{3901.0420019093435,2459.5796739161015,0.0},{3801.8782556460937,2456.6299251930322,0.0}]);[trees[19530],trees[28665],trees[36080],trees[45303],trees[45306],trees[76864]];1358.8515147069886;0
1741;false;558.0;true;true;false;false;false;false;false;{4165.176844356145,1921.5565676369588,0.0};climate[14];[];soil[243];'plot1741';polygon ([{4020.8581729657017,1768.3853351809084,0.0},{4017.9072608513525,1867.5487610744312,0.0},{4014.9565287351143,1966.7121917959303,0.0},{4012.005976619199,2065.8756273451727,0.0},{4111.169343569083,2068.8260864224285,0.0},{4210.332530515734,2071.776540673105,0.0},{4309.495537464507,2074.7269900972024,0.0},{4312.4460751020815,1975.5640945474152,0.0},{4315.396792738815,1876.4012038228102,0.0},{4318.347690372495,1777.2383179252502,0.0},{4219.184697902296,1774.2873285042588,0.0},{4120.021525432239,1771.3363342564553,0.0},{4020.8581729657017,1768.3853351809084,0.0}]);[trees[67],trees[889],trees[3252],trees[3255],trees[12338],trees[12345],trees[27334],trees[45400],trees[51420],trees[51422],trees[53868],trees[56952],trees[65386],trees[67474]];620.34525671406;0
1742;false;1080.0;true;false;false;false;false;false;false;{4162.226209480345,2020.7197307730094,0.0};climate[14];[];soil[250];'plot1742';polygon ([{4017.9072608513525,1867.5487610744312,0.0},{4014.9565287351143,1966.7121917959303,0.0},{4012.005976619199,2065.8756273451727,0.0},{4009.055604503141,2165.03906772146,0.0},{4108.2189762799535,2167.989346797578,0.0},{4207.382168054115,2170.9396210475825,0.0},{4306.5451798281865,2173.8898904712405,0.0},{4309.495537464507,2074.7269900972024,0.0},{4312.4460751020815,1975.5640945474152,0.0},{4315.396792738815,1876.4012038228102,0.0},{4216.233795442036,1873.4503944003955,0.0},{4117.070618145983,1870.4995801509358,0.0},{4017.9072608513525,1867.5487610744312,0.0}]);[trees[509],trees[1732],trees[3627],trees[6247],trees[8369],trees[17603],trees[21541],trees[21544],trees[24657],trees[27335],trees[33602],trees[38957],trees[40024],trees[42908],trees[42931],trees[56954],trees[74212],trees[74216],trees[76500],trees[78830]];1004.3685108703829;0
1743;false;1386.0;false;false;false;false;false;false;false;{4159.275754604721,2119.8828987351735,0.0};climate[14];[];soil[250];'plot1743';polygon ([{4014.9565287351143,1966.7121917959303,0.0},{4012.005976619199,2065.8756273451727,0.0},{4009.055604503141,2165.03906772146,0.0},{4006.1054123891518,2264.2025129247922,0.0},{4105.268788993242,2267.1526119995397,0.0},{4204.431985592702,2270.102706247708,0.0},{4303.595002192538,2273.052795670461,0.0},{4306.5451798281865,2173.8898904712405,0.0},{4309.495537464507,2074.7269900972024,0.0},{4312.4460751020815,1975.5640945474152,0.0},{4213.283072978142,1972.6134651233442,0.0},{4114.119890858419,1969.6628308731597,0.0},{4014.9565287351143,1966.7121917959303,0.0}]);[trees[1873],trees[1811],trees[5480],trees[6220],trees[15338],trees[15341],trees[15343],trees[15489],trees[20270],trees[20271],trees[23915],trees[39087],trees[39153],trees[51264],trees[64221],trees[64229],trees[72610],trees[75814],trees[76339]];1329.3112643872716;0
1744;false;360.0;true;true;false;false;false;false;false;{4156.325479730003,2219.046071523102,0.0};climate[14];[];soil[256];'plot1744';polygon ([{4012.005976619199,2065.8756273451727,0.0},{4009.055604503141,2165.03906772146,0.0},{4006.1054123891518,2264.2025129247922,0.0},{4003.1554002790945,2363.365962955402,0.0},{4102.318781708484,2366.315882027382,0.0},{4201.481983133708,2369.265796273481,0.0},{4300.645004557213,2372.215705694398,0.0},{4303.595002192538,2273.052795670461,0.0},{4306.5451798281865,2173.8898904712405,0.0},{4309.495537464507,2074.7269900972024,0.0},{4210.332530515734,2071.776540673105,0.0},{4111.169343569083,2068.8260864224285,0.0},{4012.005976619199,2065.8756273451727,0.0}]);[trees[590],trees[846],trees[543],trees[400],trees[15339],trees[17867],trees[38157],trees[45101],trees[47348],trees[51260],trees[51912],trees[59706],trees[68118],trees[68121],trees[76704],trees[78541],trees[78545],trees[80713]];706.2058896581757;0
1747;false;1440.0;false;false;false;false;false;false;false;{4147.4757351174485,2516.5356188419973,0.0};climate[14];[];soil[259];'plot1747';polygon ([{4003.1554002790945,2363.365962955402,0.0},{4000.205568169942,2462.52941781166,0.0},{3997.25591606379,2561.6928774956614,0.0},{3994.306443962734,2660.856342004612,0.0},{4093.4698398705805,2663.805721065728,0.0},{4192.633055770653,2666.755095301196,0.0},{4291.7960916679585,2669.7044647119474,0.0},{4294.745549295447,2570.541540215956,0.0},{4297.695186924073,2471.378620543517,0.0},{4300.645004557213,2372.215705694398,0.0},{4201.481983133708,2369.265796273481,0.0},{4102.318781708484,2366.315882027382,0.0},{4003.1554002790945,2363.365962955402,0.0}]);[trees[2320],trees[5782],trees[14784],trees[17737],trees[23947],trees[26872],trees[32930],trees[32936],trees[35731],trees[67837],trees[78408]];1329.3112643872716;0
1748;false;1458.0;true;false;false;false;false;false;false;{4144.526180252375,2615.69881093211,0.0};climate[14];[];soil[259];'plot1748';polygon ([{4000.205568169942,2462.52941781166,0.0},{3997.25591606379,2561.6928774956614,0.0},{3994.306443962734,2660.856342004612,0.0},{3991.357151866192,2760.019811340375,0.0},{4090.520552598522,2762.969010395929,0.0},{4189.683773326338,2765.9182046263013,0.0},{4288.8468140464975,2768.8673940324225,0.0},{4291.7960916679585,2669.7044647119474,0.0},{4294.745549295447,2570.541540215956,0.0},{4297.695186924073,2471.378620543517,0.0},{4198.53216067655,2468.4288911249023,0.0},{4099.368954424979,2465.479156881571,0.0},{4000.205568169942,2462.52941781166,0.0}]);[trees[827],trees[8496],trees[8497],trees[17732],trees[44964],trees[44967],trees[53436],trees[61869],trees[61870],trees[61871],trees[70243],trees[70248],trees[78404]];1299.7710140675545;0
1819;false;1404.0;false;false;false;false;false;false;false;{4369.404634217761,1729.132414685504,0.0};climate[7];[];soil[243];'plot1819';polygon ([{4225.08704281447,1575.9612111910246,0.0},{4222.135780359618,1675.1242674344685,0.0},{4219.184697902296,1774.2873285042588,0.0},{4216.233795442036,1873.4503944003955,0.0},{4315.396792738815,1876.4012038228102,0.0},{4414.5596100358525,1879.3520084202755,0.0},{4513.722247335478,1882.3028081916273,0.0},{4516.673135319841,1783.1402822895907,0.0},{4519.624203299871,1683.977761210641,0.0},{4522.5754512791755,1584.8152449568734,0.0},{4423.412828452885,1581.863905194914,0.0},{4324.250025633024,1578.9125606061425,0.0},{4225.08704281447,1575.9612111910246,0.0}]);[trees[1317],trees[72177],trees[80292]];1152.0697624689687;0
1820;false;1188.0;false;false;false;false;false;false;false;{4366.453648998082,1828.2952081720578,0.0};climate[7];[];soil[243];'plot1820';polygon ([{4222.135780359618,1675.1242674344685,0.0},{4219.184697902296,1774.2873285042588,0.0},{4216.233795442036,1873.4503944003955,0.0},{4213.283072978142,1972.6134651233442,0.0},{4312.4460751020815,1975.5640945474152,0.0},{4411.608897224069,1978.5147191456053,0.0},{4510.771539349109,1981.465338918846,0.0},{4513.722247335478,1882.3028081916273,0.0},{4516.673135319841,1783.1402822895907,0.0},{4519.624203299871,1683.977761210641,0.0},{4420.461575649679,1681.0266014444642,0.0},{4321.298768003704,1678.0754368524067,0.0},{4222.135780359618,1675.1242674344685,0.0}]);[trees[1899],trees[1667],trees[8762],trees[23821],trees[46913],trees[50618],trees[55364],trees[55368],trees[55370],trees[62115],trees[63795],trees[78651],trees[80297]];1033.9087611901;0
1821;false;1260.0;false;false;false;false;false;false;false;{4363.502843775204,1927.4580064840266,0.0};climate[14];[];soil[250];'plot1821';polygon ([{4219.184697902296,1774.2873285042588,0.0},{4216.233795442036,1873.4503944003955,0.0},{4213.283072978142,1972.6134651233442,0.0},{4210.332530515734,2071.776540673105,0.0},{4309.495537464507,2074.7269900972024,0.0},{4408.658364414587,2077.6774346958846,0.0},{4507.821011362947,2080.627874470083,0.0},{4510.771539349109,1981.465338918846,0.0},{4513.722247335478,1882.3028081916273,0.0},{4516.673135319841,1783.1402822895907,0.0},{4417.510502845165,1780.1893025198951,0.0},{4318.347690372495,1777.2383179252502,0.0},{4219.184697902296,1774.2873285042588,0.0}]);[trees[2323],trees[2162],trees[14291],trees[14295],trees[23819],trees[24949],trees[24952],trees[29983],trees[35978],trees[35983],trees[42126],trees[44843],trees[53689],trees[70130]];1152.0697624689687;0
