cycle,'NATIVE',length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT)))
914,NATIVE,73745,171204,46213,20211
915,NATIVE,72855,169020,46640,20199
916,NATIVE,71981,167129,46833,20193
917,NATIVE,81270,165392,46837,20195
918,NATIVE,90414,163852,46649,20201
919,NATIVE,99604,162370,46520,20200
920,NATIVE,98411,160830,46418,20199
921,NATIVE,96388,160049,46393,20192
922,NATIVE,89379,164285,46418,20185
923,NATIVE,83514,167456,46375,20175
924,NATIVE,76880,171416,46358,20168
925,NATIVE,73703,171845,46501,20152
926,NATIVE,72860,169865,46726,20153
927,NATIVE,71985,167814,47098,20152
928,NATIVE,71148,165942,47227,20147
929,NATIVE,80073,164205,47244,20151
930,NATIVE,89267,162683,47058,20170
931,NATIVE,98301,161136,46946,20176
932,NATIVE,97132,159557,46851,20172
933,NATIVE,95160,158747,46819,20166
934,NATIVE,88279,162890,46816,20160
935,NATIVE,82584,165922,46812,20154
936,NATIVE,76102,169870,46793,20158
937,NATIVE,72925,170268,46945,20148
938,NATIVE,72090,168356,47148,20168
939,NATIVE,71204,166205,47541,20195
940,NATIVE,70363,164359,47669,20215
941,NATIVE,79183,162685,47690,20217
942,NATIVE,88056,161172,47456,20254
943,NATIVE,97179,159637,47344,20283
944,NATIVE,96027,158073,47204,20299
945,NATIVE,93995,157358,47117,20309
946,NATIVE,87241,161440,47096,20309
947,NATIVE,81525,164581,47035,20303
948,NATIVE,75116,168373,47001,20304
949,NATIVE,71982,168787,47117,20299
950,NATIVE,71122,166843,47338,20307
951,NATIVE,70328,164681,47772,20321
952,NATIVE,69543,162910,47902,20341
953,NATIVE,78303,161158,47926,20351
954,NATIVE,87143,159634,47731,20363
955,NATIVE,95900,158097,47606,20373
956,NATIVE,94746,156576,47459,20393
957,NATIVE,92782,155984,47430,20397
958,NATIVE,85879,160215,47421,20401
959,NATIVE,80390,163133,47388,20404
960,NATIVE,73962,166987,47292,20410
961,NATIVE,70894,167372,47419,20402
962,NATIVE,70076,165478,47632,20410
963,NATIVE,69308,163370,48010,20434
964,NATIVE,68495,161521,48144,20445
965,NATIVE,77304,159857,48127,20456
966,NATIVE,86001,158435,47928,20479
967,NATIVE,94743,156954,47803,20492
968,NATIVE,93628,155520,47653,20514
969,NATIVE,91792,154818,47565,20526
970,NATIVE,85227,158719,47546,20525
971,NATIVE,79688,161685,47528,20524
972,NATIVE,73403,165481,47497,20529
973,NATIVE,70389,165870,47606,20520
974,NATIVE,69577,163972,47798,20543
975,NATIVE,68736,161770,48163,20552
976,NATIVE,67953,159979,48331,20552
977,NATIVE,76404,158299,48314,20564
978,NATIVE,85132,156864,48110,20598
979,NATIVE,93729,155426,47977,20621
980,NATIVE,92636,153950,47804,20642
981,NATIVE,90756,153275,47738,20643
982,NATIVE,84198,157254,47733,20650
983,NATIVE,78651,160228,47675,20652
984,NATIVE,72439,163961,47631,20661
985,NATIVE,69443,164226,47801,20651
986,NATIVE,68598,162374,48012,20658
987,NATIVE,67762,160283,48392,20683
988,NATIVE,67004,158474,48529,20702
989,NATIVE,75371,156788,48547,20714
990,NATIVE,83689,155329,48316,20747
991,NATIVE,92306,153865,48151,20784
992,NATIVE,91168,152501,48007,20801
993,NATIVE,89316,151770,47962,20811
994,NATIVE,82856,155678,47972,20825
995,NATIVE,77407,158516,47938,20820
996,NATIVE,71274,162133,47870,20832
997,NATIVE,68365,162405,48016,20827
998,NATIVE,67560,160536,48181,20838
999,NATIVE,66754,158541,48537,20868
1000,NATIVE,65991,156670,48709,20887
1001,NATIVE,74272,155042,48732,20900
1002,NATIVE,82583,153580,48497,20929
1003,NATIVE,90799,152072,48351,20947
1004,NATIVE,89706,150568,48247,20971
1005,NATIVE,87871,149926,48196,20975
1006,NATIVE,81413,153844,48202,20976
1007,NATIVE,76067,156750,48167,20982
1008,NATIVE,70033,160324,48113,20990
1009,NATIVE,67152,160644,48242,20986
1010,NATIVE,66346,158820,48441,21007
1011,NATIVE,65570,156738,48818,21028
1012,NATIVE,64835,154980,48984,21040
1013,NATIVE,73095,153374,49009,21043
1014,NATIVE,81254,151940,48788,21082
1015,NATIVE,89452,150496,48619,21106
1016,NATIVE,88417,149107,48467,21120
1017,NATIVE,86663,148369,48393,21129
1018,NATIVE,80501,152074,48367,21126
1019,NATIVE,75096,155041,48306,21143
1020,NATIVE,69159,158638,48241,21149
1021,NATIVE,66330,158914,48354,21143
1022,NATIVE,65565,157074,48586,21150
1023,NATIVE,64780,155078,48917,21178
1024,NATIVE,64004,153269,49051,21190
1025,NATIVE,71971,151635,49036,21199
1026,NATIVE,80125,150282,48816,21239
1027,NATIVE,88199,148783,48677,21268
1028,NATIVE,87203,147345,48513,21295
1029,NATIVE,85395,146702,48436,21315
1030,NATIVE,79216,150325,48443,21320
1031,NATIVE,74055,153040,48420,21323
1032,NATIVE,68124,156627,48382,21326
1033,NATIVE,65298,156994,48476,21321
1034,NATIVE,64532,155209,48631,21335
1035,NATIVE,63782,153314,48930,21373
1036,NATIVE,63027,151489,49110,21392
1037,NATIVE,70853,149859,49130,21395
1038,NATIVE,78696,148480,48918,21443
1039,NATIVE,86714,147057,48785,21463
1040,NATIVE,85727,145635,48641,21496
1041,NATIVE,83927,144965,48584,21507
1042,NATIVE,77876,148563,48546,21507
1043,NATIVE,72699,151345,48497,21511
1044,NATIVE,66959,154689,48462,21519
1045,NATIVE,64176,155002,48548,21512
1046,NATIVE,63456,153194,48736,21529
1047,NATIVE,62714,151259,49070,21548
1048,NATIVE,61996,149591,49172,21569
1049,NATIVE,69676,148047,49153,21580
1050,NATIVE,77430,146703,48942,21606
1051,NATIVE,85156,145369,48795,21647
1052,NATIVE,84194,144007,48621,21675
1053,NATIVE,82462,143362,48558,21681
1054,NATIVE,76323,147025,48549,21688
1055,NATIVE,71336,149609,48501,21698
1056,NATIVE,65607,152988,48441,21703
1057,NATIVE,62881,153234,48592,21695
1058,NATIVE,62199,151423,48799,21712
1059,NATIVE,61470,149522,49149,21743
1060,NATIVE,60804,147785,49300,21766
1061,NATIVE,68472,146245,49333,21787
1062,NATIVE,76145,144903,49127,21819
1063,NATIVE,83737,143524,48959,21858
1064,NATIVE,82738,142108,48807,21883
1065,NATIVE,81021,141423,48731,21896
1066,NATIVE,75176,144965,48713,21903
1067,NATIVE,70172,147632,48649,21916
1068,NATIVE,64624,150936,48605,21923
1069,NATIVE,61881,151250,48742,21914
1070,NATIVE,61192,149487,48906,21937
1071,NATIVE,60454,147481,49256,21955
1072,NATIVE,59723,145780,49399,21981
1073,NATIVE,67017,144254,49387,21993
1074,NATIVE,74601,142953,49142,22039
1075,NATIVE,82116,141593,48987,22068
1076,NATIVE,81193,140209,48849,22111
1077,NATIVE,79488,139524,48794,22123
1078,NATIVE,73775,142919,48757,22125
1079,NATIVE,68923,145501,48711,22132
1080,NATIVE,63367,148811,48655,22142
1081,NATIVE,60752,149025,48745,22131
1082,NATIVE,60009,147283,48866,22163
1083,NATIVE,59280,145294,49234,22199
1084,NATIVE,58621,143679,49291,22213
1085,NATIVE,65887,142164,49282,22236
1086,NATIVE,73095,140916,49053,22276
1087,NATIVE,80569,139561,48905,22311
1088,NATIVE,79673,138248,48754,22337
1089,NATIVE,77987,137628,48712,22339
1090,NATIVE,72290,141057,48693,22349
1091,NATIVE,67484,143671,48621,22352
1092,NATIVE,62111,146897,48559,22360
1093,NATIVE,59580,147129,48630,22356
1094,NATIVE,58902,145418,48787,22381
1095,NATIVE,58174,143544,49154,22409
1096,NATIVE,57535,141917,49301,22428
1097,NATIVE,64655,140484,49297,22444
1098,NATIVE,71787,139223,49063,22482
1099,NATIVE,78878,137873,48916,22515
1100,NATIVE,77970,136632,48772,22533
1101,NATIVE,76366,136008,48716,22538
1102,NATIVE,70753,139330,48691,22547
1103,NATIVE,66120,141757,48626,22548
1104,NATIVE,60751,144901,48538,22563
1105,NATIVE,58183,145160,48661,22556
1106,NATIVE,57515,143414,48821,22578
1107,NATIVE,56829,141548,49161,22602
1108,NATIVE,56199,139924,49266,22625
1109,NATIVE,63226,138500,49256,22641
1110,NATIVE,70239,137219,49039,22697
1111,NATIVE,77265,135953,48865,22724
1112,NATIVE,76337,134578,48741,22766
1113,NATIVE,74770,133905,48703,22770
1114,NATIVE,69310,137092,48667,22771
1115,NATIVE,64696,139559,48623,22779
1116,NATIVE,59526,142597,48567,22779
1117,NATIVE,57035,142891,48686,22770
1118,NATIVE,56358,141263,48834,22795
1119,NATIVE,55703,139456,49181,22816
1120,NATIVE,55063,137887,49305,22839
1121,NATIVE,61803,136406,49330,22851
1122,NATIVE,68724,135179,49088,22904
1123,NATIVE,75615,133930,48942,22931
1124,NATIVE,74706,132675,48784,22961
1125,NATIVE,73152,132027,48776,22965
1126,NATIVE,67754,135178,48756,22973
1127,NATIVE,63263,137541,48685,22982
1128,NATIVE,58224,140556,48636,22988
1129,NATIVE,55799,140770,48731,22979
1130,NATIVE,55129,139150,48857,23008
1131,NATIVE,54481,137290,49216,23034
1132,NATIVE,53834,135700,49318,23055
1133,NATIVE,60474,134243,49331,23070
1134,NATIVE,67046,132986,49126,23102
1135,NATIVE,73861,131763,48965,23150
1136,NATIVE,73023,130525,48819,23175
1137,NATIVE,71432,129969,48767,23191
1138,NATIVE,66205,133035,48745,23192
1139,NATIVE,61798,135309,48686,23202
1140,NATIVE,56802,138217,48606,23211
1141,NATIVE,54441,138457,48686,23200
1142,NATIVE,53799,136871,48836,23230
1143,NATIVE,53238,135149,49147,23258
1144,NATIVE,52649,133626,49242,23280
1145,NATIVE,59080,132269,49265,23291
1146,NATIVE,65593,131024,49041,23338
1147,NATIVE,72024,129724,48880,23378
1148,NATIVE,71203,128500,48722,23410
1149,NATIVE,69679,127897,48680,23420
1150,NATIVE,64552,130920,48698,23422
1151,NATIVE,60285,133097,48631,23426
1152,NATIVE,55506,135876,48584,23440
1153,NATIVE,53208,136015,48716,23434
1154,NATIVE,52637,134396,48874,23449
1155,NATIVE,52027,132657,49131,23486
1156,NATIVE,51457,131098,49262,23510
1157,NATIVE,57819,129722,49262,23529
1158,NATIVE,64130,128515,49066,23577
1159,NATIVE,70428,127329,48931,23602
1160,NATIVE,69642,126158,48780,23637
1161,NATIVE,68191,125559,48710,23642
1162,NATIVE,63166,128491,48667,23650
1163,NATIVE,58884,130751,48608,23650
1164,NATIVE,54125,133533,48533,23662
1165,NATIVE,51803,133724,48638,23656
1166,NATIVE,51180,132101,48788,23676
1167,NATIVE,50593,130359,49110,23708
1168,NATIVE,50014,128909,49233,23713
1169,NATIVE,56041,127562,49191,23732
1170,NATIVE,62298,126372,48949,23783
1171,NATIVE,68457,125172,48798,23824
1172,NATIVE,67695,123946,48621,23856
1173,NATIVE,66302,123313,48560,23865
1174,NATIVE,61315,126188,48544,23870
1175,NATIVE,57166,128314,48511,23877
1176,NATIVE,52472,131050,48433,23885
1177,NATIVE,50236,131128,48501,23874
1178,NATIVE,49653,129563,48622,23908
1179,NATIVE,49061,127856,48913,23933
1180,NATIVE,48527,126328,49067,23960
1181,NATIVE,54396,125045,49053,23977
1182,NATIVE,60268,123887,48847,24024
1183,NATIVE,66314,122704,48697,24058
1184,NATIVE,65513,121492,48583,24080
1185,NATIVE,64120,120914,48472,24101
1186,NATIVE,59382,123660,48431,24107
1187,NATIVE,55467,125635,48361,24114
1188,NATIVE,51032,128184,48296,24137
1189,NATIVE,48912,128349,48347,24131
1190,NATIVE,48318,126895,48501,24152
1191,NATIVE,47771,125231,48774,24179
1192,NATIVE,47253,123811,48906,24196
1193,NATIVE,52986,122595,48906,24210
1194,NATIVE,58730,121483,48694,24258
1195,NATIVE,64441,120327,48549,24285
1196,NATIVE,63677,119153,48408,24323
1197,NATIVE,62324,118631,48355,24331
1198,NATIVE,57634,121374,48357,24333
1199,NATIVE,53714,123353,48317,24340
1200,NATIVE,49370,125878,48232,24358
1201,NATIVE,47227,126076,48315,24355
1202,NATIVE,46681,124588,48436,24378
1203,NATIVE,46114,123008,48697,24411
1204,NATIVE,45536,121563,48794,24440
1205,NATIVE,51121,120309,48761,24460
1206,NATIVE,56655,119225,48536,24514
1207,NATIVE,62263,118152,48376,24540
1208,NATIVE,61527,117062,48214,24589
1209,NATIVE,60265,116460,48144,24600
1210,NATIVE,55775,119083,48127,24599
1211,NATIVE,52023,121005,48068,24607
1212,NATIVE,47803,123418,48008,24612
1213,NATIVE,45762,123519,48059,24607
1214,NATIVE,45225,122099,48146,24635
1215,NATIVE,44698,120474,48418,24659
1216,NATIVE,44159,119081,48527,24682
1217,NATIVE,49450,117840,48544,24699
1218,NATIVE,54888,116857,48310,24749
1219,NATIVE,60345,115819,48143,24786
1220,NATIVE,59651,114729,48000,24829
1221,NATIVE,58418,114144,47931,24846
1222,NATIVE,54204,116620,47892,24853
1223,NATIVE,50498,118492,47851,24855
1224,NATIVE,46304,120878,47788,24866
1225,NATIVE,44366,120932,47881,24856
1226,NATIVE,43884,119536,47985,24890
1227,NATIVE,43370,118057,48252,24924
1228,NATIVE,42927,116727,48373,24942
1229,NATIVE,48120,115482,48329,24961
1230,NATIVE,53267,114398,48100,25011
1231,NATIVE,58609,113330,47943,25047
1232,NATIVE,57916,112212,47798,25084
1233,NATIVE,56645,111688,47692,25110
1234,NATIVE,52447,114090,47662,25120
1235,NATIVE,48945,115828,47592,25127
1236,NATIVE,44964,118011,47528,25136
1237,NATIVE,43089,118063,47583,25127
1238,NATIVE,42590,116667,47703,25160
1239,NATIVE,42082,115105,47998,25198
1240,NATIVE,41578,113805,48087,25225
1241,NATIVE,46598,112582,48053,25235
1242,NATIVE,51564,111591,47818,25306
1243,NATIVE,56553,110526,47693,25332
1244,NATIVE,55847,109466,47554,25361
1245,NATIVE,54690,108954,47474,25369
1246,NATIVE,50534,111385,47447,25379
1247,NATIVE,47139,113050,47372,25386
1248,NATIVE,43233,115273,47306,25400
1249,NATIVE,41377,115388,47415,25392
1250,NATIVE,40912,113955,47560,25416
1251,NATIVE,40437,112399,47825,25449
1252,NATIVE,39975,111133,47959,25472
1253,NATIVE,44925,109967,47924,25494
1254,NATIVE,49788,108963,47697,25542
1255,NATIVE,54619,107883,47527,25566
1256,NATIVE,53975,106886,47325,25609
1257,NATIVE,52856,106294,47262,25623
1258,NATIVE,48957,108527,47206,25630
1259,NATIVE,45639,110173,47143,25640
1260,NATIVE,41923,112339,47082,25647
1261,NATIVE,40083,112444,47156,25637
1262,NATIVE,39585,111093,47270,25670
1263,NATIVE,39144,109579,47573,25698
1264,NATIVE,38690,108296,47637,25722
1265,NATIVE,43341,107180,47606,25741
1266,NATIVE,48150,106210,47401,25793
1267,NATIVE,52865,105202,47265,25826
1268,NATIVE,52247,104170,47067,25865
1269,NATIVE,51202,103551,47018,25871
1270,NATIVE,47484,105575,46998,25871
1271,NATIVE,44313,107100,46947,25878
1272,NATIVE,40679,109136,46885,25885
1273,NATIVE,38937,109120,47003,25878
1274,NATIVE,38483,107770,47141,25917
1275,NATIVE,38069,106318,47381,25947
1276,NATIVE,37631,105090,47473,25964
1277,NATIVE,42126,103920,47454,25989
1278,NATIVE,46536,102982,47227,26041
1279,NATIVE,51149,102022,47058,26086
1280,NATIVE,50552,101120,46921,26114
1281,NATIVE,49490,100585,46841,26122
1282,NATIVE,45822,102644,46831,26127
1283,NATIVE,42773,104174,46747,26128
1284,NATIVE,39224,106165,46701,26139
1285,NATIVE,37501,106211,46778,26133
1286,NATIVE,37038,104945,46881,26174
1287,NATIVE,36605,103565,47134,26214
1288,NATIVE,36172,102355,47208,26236
1289,NATIVE,40484,101275,47193,26251
1290,NATIVE,44815,100359,46956,26305
1291,NATIVE,49129,99396,46821,26339
1292,NATIVE,48564,98487,46671,26384
1293,NATIVE,47532,97979,46603,26397
1294,NATIVE,43912,100005,46552,26399
1295,NATIVE,40926,101389,46533,26398
1296,NATIVE,37602,103320,46463,26404
1297,NATIVE,35940,103394,46523,26396
1298,NATIVE,35548,102179,46617,26430
1299,NATIVE,35105,100846,46836,26464
1300,NATIVE,34703,99702,46905,26483
1301,NATIVE,38983,98646,46882,26494
1302,NATIVE,43169,97760,46644,26551
1303,NATIVE,47387,96895,46503,26605
1304,NATIVE,46814,95957,46334,26646
1305,NATIVE,45856,95425,46273,26660
1306,NATIVE,42411,97310,46233,26668
1307,NATIVE,39563,98717,46160,26675
1308,NATIVE,36324,100496,46108,26686
1309,NATIVE,34703,100582,46172,26673
1310,NATIVE,34318,99351,46271,26701
1311,NATIVE,33905,98040,46503,26734
1312,NATIVE,33528,96908,46547,26766
1313,NATIVE,37501,95886,46537,26791
1314,NATIVE,41610,95005,46339,26845
1315,NATIVE,45694,94112,46163,26891
1316,NATIVE,45146,93170,45997,26927
1317,NATIVE,44240,92573,45916,26944
1318,NATIVE,40952,94420,45893,26958
1319,NATIVE,38266,95790,45808,26966
1320,NATIVE,35141,97515,45732,26979
1321,NATIVE,33599,97606,45830,26971
1322,NATIVE,33182,96374,45969,26995
1323,NATIVE,32765,95072,46221,27031
1324,NATIVE,32388,93953,46308,27045
1325,NATIVE,36250,92936,46289,27064
1326,NATIVE,40093,92060,46082,27103
1327,NATIVE,44115,91139,45919,27153
1328,NATIVE,43572,90269,45800,27176
1329,NATIVE,42656,89839,45689,27194
1330,NATIVE,39490,91566,45636,27215
1331,NATIVE,36895,92810,45588,27219
1332,NATIVE,33844,94488,45511,27236
1333,NATIVE,32356,94471,45581,27227
1334,NATIVE,31977,93310,45722,27248
1335,NATIVE,31628,92041,45926,27303
1336,NATIVE,31258,90964,45974,27338
1337,NATIVE,34958,89999,45925,27365
1338,NATIVE,38699,89171,45692,27437
1339,NATIVE,42435,88335,45549,27473
1340,NATIVE,41968,87487,45394,27524
1341,NATIVE,41075,87029,45322,27529
1342,NATIVE,37916,88814,45257,27532
1343,NATIVE,35380,90022,45194,27541
1344,NATIVE,32463,91648,45127,27553
1345,NATIVE,31057,91643,45181,27541
1346,NATIVE,30701,90542,45298,27576
1347,NATIVE,30319,89380,45512,27601
1348,NATIVE,29954,88332,45575,27621
1349,NATIVE,33665,87402,45539,27637
1350,NATIVE,37313,86619,45320,27686
1351,NATIVE,40903,85752,45177,27721
1352,NATIVE,40410,84963,45014,27758
1353,NATIVE,39546,84492,44945,27766
1354,NATIVE,36647,86110,44904,27782
1355,NATIVE,34099,87323,44827,27784
1356,NATIVE,31321,88805,44756,27790
1357,NATIVE,30021,88738,44841,27781
1358,NATIVE,29674,87654,44927,27809
1359,NATIVE,29344,86429,45165,27849
1360,NATIVE,28985,85385,45193,27878
1361,NATIVE,32411,84495,45162,27900
1362,NATIVE,36004,83734,44956,27961
