cycle,investor_percent_share,exotic_price_per_bdft,native_price_per_bdft,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,partners_earning,independent_earning,investor_total_profit,total_investment_cost,total_investments
0,0.5,135.18,148.05,25,50,54885,7400,0,0,35698,26732,45519.51,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.5,135.18,148.05,25,289,54681,7396,0,0,35433,26714,142548.11999999997,0.0,-142548.11999999997,0.0,0.0,0.0,0.0,0
2,0.5,135.18,148.05,25,288,54483,7392,0,0,35201,26681,142548.11999999997,0.0,-142548.11999999997,0.0,0.0,0.0,0.0,0
3,0.5,135.18,148.05,24,288,54288,7390,0,0,34901,26651,221580.33759999997,0.0,-221580.33759999997,0.0,0.0,0.0,0.0,0
4,0.5,135.18,148.05,24,286,54103,7385,0,0,34691,26622,221580.33759999997,0.0,-221580.33759999997,0.0,0.0,0.0,0.0,0
5,0.5,135.18,148.05,9127,750,53859,7422,0,0,34466,26597,699485.0375999999,244352.60251610167,-455132.43508389825,0.0,0.0,0.0,0.0,0
6,0.5,135.18,148.05,15978,854,53661,7426,0,0,34216,26514,724599.5120236888,244352.60251610167,-480246.9095075871,10790.294756024316,0.0,0.0,0.0,0
7,0.5,135.18,148.05,18600,1243,53472,7430,0,0,33987,26496,920006.112196991,1895888.7940619385,975882.6818649475,28172.86864,0.0,318628.29228470364,1406913.0299999996,18
8,0.5,135.18,148.05,18373,1359,53267,7439,0,0,33782,26442,985984.6606114939,1986952.6508378056,1000967.9902263117,9899.5552368889,0.0,337981.32494850404,1485074.8649999995,19
